№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;«Чорний ліс»;заказник;загальнозоологічний;15081,74;Тисменицький, Калуський,  Богородчанський район;ПП «СЛНДПЗГ «Чорний ліс», ЛПК МО України;Рішення сесії обласної ради від 23.06.97 р.   № 443 із змінами у площі згідно рішення обласної ради від 14.09.2004 р. № 445-12/2004 “Про зміну меж територій та об’єктів природно – заповідного фонду області”
;«Гирява»;заказник;загальнозоологічний;39,1;Болехівська міська рада, Козаківське лісництво, кв. 33, вид.14,15;ДП «Болехівський держлісгосп»;Рішення обласної ради від 28.12.99 р.  № 237 – 11/99
;Разом заказників загальнозоологічних;2;;15120,84;;;
;Всього заказників місцевого значення;59;;42965,34;;;
;«Каменець»;пам`ятка природи;комплексна;1;Верховинський район, Чивчинське ліснитво, кв.9, вид.19;ДП «Верховинський держлісгосп»;Рішення облвиконкому від 16.09.80 р. № 335
;«Озірна»;пам`ятка природи;комплексна;0,7;Надвірнянський район, Довжинецьке лісництво,    кв.24, вид.1;ДП «Надвірнянський держлісгосп»;Рішення обвиконкому від 07.07.72 р. № 264
;«Скалки»;пам`ятка природи;комплексна;2,6;Надвірнянський район, Довжинецьке лісництво,  кв.1, вид.20,23;ДП «Надвірнянський держлісгосп»;Рішення обвиконкому від 07.07.72 р. № 264
;«Під скелями»;пам`ятка природи;комплексна;0,5;Надвірнянський район, Зеленське лісництво, кв.30, вид.2;ДП «Надвірнянський держлісгосп»;Рішення обвиконкому від 07.07.72 р. № 264
;«Добротівські відслонення»;пам`ятка природи;комплексна;5;Надвірнянський район, с. Заріччя;Зарічанська сільська рада;Рішення обвиконкому від 07.07.72 р. № 264
;«Великі Голди»;пам`ятка природи;комплексна;24,3;Рогатинський район, с. Лучинці;Лучинецька сільська рада;Розпорядження облдержадміністрації від 23.06.97 р. № 443
;«Вовчинецькі гори»;пам`ятка природи;комплексна;30;Івано – Франківська міська рада р-н с. Вовчинці;Вовчинецька сільська рада;Розпорядження облдержадміністрації від 23.06.97 р. № 443
;«Капличка»;пам`ятка природи;комплексна;1,8;Болехівська міська рада, Болехівське л-во, кв.42, вид.1  кв.36, вид. 38;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.2004. №350-10/2004
;«Табори»;пам`ятка природи;комплексна;10,9;Болехівська міська рада, Болехівське л-во, кв.42, вид.1  кв.28, вид. 15-17;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.2004. №350-10/2004
;«Лисий потік»;пам`ятка природи;комплексна;14,4;Долинський р-н, Витвицьке л-во, кв.3, вид.1,2,3,5,8,9,10  ;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.2004. №350-10/2004
;«Данчиця»;пам`ятка природи;комплексна;6,1;Городенківський район  Придністрянське лісництво кв. 1, вид. 8,9,10;ДП «Коломийське лісове господарство»;Рішення облвиконкому від 16.10.1984 р. № 247
;Разом пам`яток природи комплексних;11;;97,3;;;
;«Тис ягідний»;пам`ятка природи;ботанічна;0,01;Богородчанський район, Манявське лісництво, кв.24, вид.7;ДП «Солотвинський держлісгосп»;Рішення облвиконкому від 19.07.88 р. № 128
;«Бір «Величків»;пам`ятка природи;ботанічна;2,1;Богородчанський район, Яблунівське лісництво,  кв.7, вид.15;ДП «Солотвинський держлісгосп»;Рішення обласної ради від 15.07.93
;«Солотвинські дуби»;пам`ятка природи;ботанічна;0,29;Богородчанський район, с.м.т.Солотвино;Солотвинська селищна рада;Розпорядження облдержадміністрації від 15.07.96 р. № 451, із змінами у площі згідно рішення обласної ради від 12.03.2004. №350-10/2004
;«Еталон букового насадження»;пам`ятка природи;ботанічна;2,4;Верховинський район, Устеріцьке лісництво, кв.15, вид.18;ДП «Гринявський держлісгосп»;Рішення облвиконкому від 07.07.72 р. № 264
;«Еталон смерекового насадження»;пам`ятка природи;ботанічна;3,9;Верховинський район, Гостовецьке лісництво, кв.19, вид.34;ДП «Гринявський держлісгосп»;Рішення облвиконкому від 07.07.72 р. № 264
;«Еталон смерекового насадження»;пам`ятка природи;ботанічна;2,6;Верховинський район, Яловичорське лісництво, кв.14, вид.16;ДП «Гринявський держлісгосп»;Рішення облвиконкому від 07.07.72 р. № 264
;«Еталон смерекового насадження»;пам`ятка природи;ботанічна;2,1;Верховинський район, Яловичорське лісництво,  кв.14, вид.13;ДП «Гринявський держлісгосп»;Рішення облвиконкому від 07.07.72 р. № 264
;«Модрина»;пам`ятка природи;ботанічна;0,5;Верховинський  район, обринськи лісництво, кв.19, вид.15;ДП «Верховинський держлісгосп»;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Редискул»;пам`ятка природи;ботанічна;3,2;Верховинський район, с. Буркут;Буркутська сільська рада;Рішення облвиконкому від 07.07.72 р. № 264
;«Еталон смерекового насадження»;пам`ятка природи;ботанічна;3,2;Верховинський район,  Перкалабське обринськ, кв 7, вид.16;ДП «Гринявський держлісгосп»;Рішення обласної ради від 12.03.2004. №350-10/2004
;«Чертяк»;пам`ятка природи;ботанічна;5;м. Городенка;Городенківська міська рада;Рішення облвиконкому від 07.07.72 р. № 264
